"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","460","Admin Login With Correct Credentials","DailyFinanceApp Automation","Tue Jul 08 21:25:37 BDT 2025","passed","Tue Jul 08 21:25:37 BDT 2025","testrunner.LoginTestRunner","User Login","testrunner.LoginTestRunner","adminLogin"
"","671","doLogin","DailyFinanceApp Automation","Tue Jul 08 21:26:10 BDT 2025","passed","Tue Jul 08 21:26:11 BDT 2025","testrunner.LoginUsingCSVDataset","User login from CSV dataset ","testrunner.LoginUsingCSVDataset","doLogin"
"","6213","User can do registration by filling only the mandatory fields","DailyFinanceApp Automation","Tue Jul 08 21:25:49 BDT 2025","passed","Tue Jul 08 21:25:55 BDT 2025","testrunner.RegistrationTestRunner","User Registration","testrunner.RegistrationTestRunner","userRegByMandatoryFields"
"","1509","Add a cost/expenditure of the last user","DailyFinanceApp Automation","Tue Jul 08 21:25:57 BDT 2025","passed","Tue Jul 08 21:25:59 BDT 2025","testrunner.UserDashboardRunner","User Dashboard product cost add","testrunner.UserDashboardRunner","addCost"
"","931","User Login from json stored Data","DailyFinanceApp Automation","Tue Jul 08 21:25:37 BDT 2025","passed","Tue Jul 08 21:25:38 BDT 2025","testrunner.LoginTestRunner","User Login","testrunner.LoginTestRunner","userLogin"
"","4489","Upload Image and Update profile","DailyFinanceApp Automation","Tue Jul 08 21:26:03 BDT 2025","passed","Tue Jul 08 21:26:08 BDT 2025","testrunner.ProfileTestRunner","User profile update ","testrunner.ProfileTestRunner","seeProfile"
"","8766","User can do registration by filling all the fields","DailyFinanceApp Automation","Tue Jul 08 21:25:40 BDT 2025","passed","Tue Jul 08 21:25:49 BDT 2025","testrunner.RegistrationTestRunner","User Registration","testrunner.RegistrationTestRunner","userRegistration"
"","312","Check user profile","DailyFinanceApp Automation","Tue Jul 08 21:26:03 BDT 2025","passed","Tue Jul 08 21:26:03 BDT 2025","testrunner.ProfileTestRunner","User profile update ","testrunner.ProfileTestRunner","dologin"
"","590","doLogin","DailyFinanceApp Automation","Tue Jul 08 21:26:09 BDT 2025","passed","Tue Jul 08 21:26:10 BDT 2025","testrunner.LoginUsingCSVDataset","User login from CSV dataset ","testrunner.LoginUsingCSVDataset","doLogin"
"","2747","Admin Login With wrong Credentials","DailyFinanceApp Automation","Tue Jul 08 21:25:34 BDT 2025","passed","Tue Jul 08 21:25:36 BDT 2025","testrunner.LoginTestRunner","User Login","testrunner.LoginTestRunner","adminLoginWithWrongCredentials"
